,Day Ct,Set Ct,Speculum Type,Spec Ang,Spec Ht,Size,Brand,Material,Material Type,Method,mmHg,wd,wd,wd,wd,wd,wd,wd,ht,ht,ht,ht,ht,ht,ht,wd_rel,wd_rel,wd_rel,wd_rel,wd_rel,wd_rel,wd_rel,ht_rel,ht_rel,ht_rel,ht_rel,ht_rel,ht_rel,ht_rel,Opening Height,Opening Height,Opening Height,Opening Height,Opening Height,Opening Height,Opening Height
,,,,,,,,,,,,mean,sem,std,amin,median,amax,count_nonzero,mean,sem,std,amin,median,amax,count_nonzero,mean,sem,std,amin,median,amax,count_nonzero,mean,sem,std,amin,median,amax,count_nonzero,mean,sem,std,amin,median,amax,count_nonzero
0,1,1,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,0,253.66666666666666,14.529663145135581,25.166114784235827,227.0,257.0,277.0,3,242.0,11.269427669584646,19.519221295943137,222.0,243.0,261.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.866666666666667,0.16666666666666666,0.28867513459481287,2.7,2.7,3.2,3
1,1,1,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,40,199.0,5.8594652770823155,10.14889156509222,190.0,197.0,210.0,3,225.66666666666666,34.143488072805006,59.13825608972024,169.0,221.0,287.0,3,0.21157874524370598,0.04008012117183655,0.06942080624313794,0.13215859030837007,0.24187725631768953,0.2607003891050583,3,0.07655228664168641,0.09792474027601586,0.16961062547604583,-0.09961685823754785,0.09053497942386834,0.23873873873873874,3,2.866666666666667,0.16666666666666666,0.28867513459481287,2.7,2.7,3.2,3
2,1,1,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,80,133.33333333333334,7.512951779723097,13.012814197295423,120.0,134.0,146.0,3,201.33333333333334,26.964997888208913,46.70474636836533,160.0,192.0,252.0,3,0.47189658254755606,0.035621107824534065,0.06169756857398229,0.4096916299559471,0.4729241877256317,0.5330739299610895,3,0.17454619370328184,0.07284117271807075,0.1261646120305985,0.03448275862068961,0.2098765432098766,0.2792792792792793,3,2.866666666666667,0.16666666666666666,0.28867513459481287,2.7,2.7,3.2,3
3,1,1,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,120,96.0,10.263202878893768,17.776388834631177,82.0,90.0,116.0,3,217.33333333333334,25.98290035987344,45.00370355130046,166.0,236.0,250.0,3,0.6232664680392368,0.02125970045330115,0.036822881338812695,0.5812274368231047,0.6387665198237886,0.6498054474708171,3,0.10773481016137465,0.07236124790482017,0.1253333578702355,0.028806584362139898,0.04214559386973182,0.25225225225225223,3,2.866666666666667,0.16666666666666666,0.28867513459481287,2.7,2.7,3.2,3
4,1,1,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,160,69.66666666666667,7.31057073315377,12.662279942148388,60.0,65.0,84.0,3,220.33333333333334,70.39255011086834,121.92347326636218,145.0,155.0,361.0,3,0.7265051446575308,0.015236686889928207,0.02639071583237429,0.6967509025270758,0.7356828193832599,0.7470817120622568,3,0.10731740680655118,0.24697349507144728,0.4277706415866084,-0.3831417624521072,0.30180180180180183,0.4032921810699589,3,2.866666666666667,0.16666666666666666,0.28867513459481287,2.7,2.7,3.2,3
5,1,1,White,5,0,M,STRONG-Black,Nitrile,Glove,Middle,200,55.666666666666664,6.641619615057092,11.503622617824933,44.0,56.0,67.0,3,132.33333333333334,5.783117190965824,10.016652800877813,121.0,136.0,140.0,3,0.7800734942530285,0.02439982530583565,0.042261737125512115,0.7533039647577092,0.7581227436823105,0.8287937743190661,3,0.45101551104105386,0.03369530691147416,0.05836198354729999,0.3873873873873874,0.46360153256704983,0.5020576131687242,3,2.866666666666667,0.16666666666666666,0.28867513459481287,2.7,2.7,3.2,3
6,1,5,White,3,0,M,Primacare,Vinyl,Glove,Middle,0,265.6666666666667,38.86014810974235,67.3077509157254,188.0,302.0,307.0,3,84.66666666666667,55.6936062558152,96.46415569180779,26.0,32.0,196.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.1166666666666667,0.09279607271383372,0.16072751268321595,1.0,1.05,1.3,3
7,1,5,White,3,0,M,Primacare,Vinyl,Glove,Middle,40,250.66666666666666,43.348715218690295,75.0821772016058,164.0,292.0,296.0,3,108.0,77.50483855863452,134.24231821597837,29.0,32.0,263.0,3,0.06546235299679315,0.032205125724196836,0.055780914018452345,0.019867549668874163,0.04885993485342022,0.12765957446808507,3,-0.152407116692831,0.10040100845921274,0.1738996477825091,-0.34183673469387754,-0.11538461538461542,0.0,2,1.1166666666666667,0.09279607271383372,0.16072751268321595,1.0,1.05,1.3,3
8,1,5,White,3,0,M,Primacare,Vinyl,Glove,Middle,80,269.0,6.658328118479393,11.532562594670797,258.0,268.0,281.0,3,109.33333333333333,73.90158621061151,128.00130207671066,30.0,41.0,257.0,3,-0.06546212351046159,0.1819028712178001,0.31506501499188816,-0.42553191489361697,0.06953642384105962,0.1596091205211726,3,-0.24877354788069073,0.04824598468015271,0.08356449672721418,-0.31122448979591844,-0.28125,-0.15384615384615374,3,1.1166666666666667,0.09279607271383372,0.16072751268321595,1.0,1.05,1.3,3
